Unnamed: 0,text_data,sentiment
7510,Terbaru Harga iPhone 13 iPhone 12 iPhone 11 iPhone SE per Juli 2022 ,Negative
6927,FX Rudy Dukung Bobby Bongkar Kantor PDIP di Atas Parit ,Negative
6389,Plus Minus Pengusungan Anies Baswedan sebagai Capres di 2024 ,Negative
4983,Garuda Indonesia Pantau Harga Avtur dan Penyesuaian Harga Tiket ,Negative
6651,Dinonaktifkan Surya Paloh Zulfan Lindan Saya Masih Anggota Partai Nasdem ,Negative
6351,Disebut Dukung Anies Baswedan Akbar Tanjung Dia Junior Saya di HMI ,Negative
2178,Disuruh Pilih Durasi atau Ukuran Gini Jawaban Anya Geraldine ,Negative
4183,Bus Rombongan Pencak Silat Pagar Nusa Dilempari Batu Tawuran Pecah di Lamongan ,Negative
5238,Ulu Kasok Raja Ampat yang Ada di Sumatera ,Negative
1593,Asyik Sri Mulyani Bawa Kabar Gembira Apa Itu ,Negative
6406,Menjelang Anies Baswedan Lengser Pengusaha Berharap Pj Gubernur DKI Komunikatif dan Mudah Ditemui ,Negative
4580,Alasan Timnas Basket Indonesia Cuma Bawa Satu Pemain Naturalisasi ke SEA Games 2021 ,Negative
2992,Bukti Baru Putin Kalah di Ukraina Kuburan Tank,Negative
5475,VIDEO Geliat Kawasan Kota Tua Batavia Usai Revitalisasi ,Negative
1700,Mantan Manager JYP Entertainment BLACKPINK Tak Bisa Dibandingkan Girl Group Lainnya di K,Negative
842,Misteri Harga Emas Terpecahkan Ini Grafik Logam Mulia yang Perlu Anda Lihat ,Negative
7617,Mewah 7 Rekomendasi MacBook Second di Bawah Rp9 Juta ,Negative
2440,Saat Biden Bilang Pandemi Berakhir di Amerika Serikat ,Negative
3494,Awas Varian Baru Covid Sudah Masuk RI Jauh Lebih Mematikan ,Negative
2571,AS,Negative
4185,Aniaya Bocah Berkaus Perguruan Silat saat Konvoi di Blora 4 Orang Ditangkap Polisi ,Negative
2825,Negara,Negative
6345,Jalan Beda Heru Budi dan Anies Baswedan di Jakarta ,Negative
1042,Alarm Risiko Gagal Bayar Utang Sederet Negara Berkembang Berbunyi ,Negative
2422,Inflasi di Amerika Serikat Tercatat Masih Tinggi Bagaimana Dampaknya Terhadap Indonesia ,Negative
3243,BPJS Kesehatan dan Dinas Sosial Gunungsitoli Mutakhirkan Data Peserta PBI,Negative
2385,Idol Group,Negative
4929,Bukit Silvia Labuan Bajo Terbakar Api Diduga Bersumber dari Puntung Rokok Pengunjung ,Negative
2457,10 Negara Bagian Terkecil di Amerika Serikat Berdasarkan Luas Wilayah ,Negative
874,Harga Emas Anjlok Nih Tapi Ada Harapan Naik Lagi ,Negative
43,Terpopuler Bisnis Luhut Bahas Potensi Perang Nuklir Restrukturisasi Kredit Diperpanjang ,Negative
4862,10 Oleh,Negative
4669,Paguyuban Suporter Timnas Ngadu ke Komnas HAM Minim Edukasi ,Negative
6721,Kehati,Negative
1896,Lucu Banget Ayu Ting Ting Ceritakan Momen Bilqis Ketiduran di Konser BTS ,Negative
282,IPO Moratelindo MORA Oversubscribed 200 Kali Listing 8 Agustus ,Negative
4595,SEA Games 2021 Marques Bolden Jadi Tumpuan Timnas Basket Indonesia ,Negative
283,Dana IPO GOTO Gede Segini Realisasinya ,Negative
2300,Komentar Gurumi Haribo soal Ancaman YG Entertainment untuk Penyebar Foto Jennie BLACKPINK dan V BTS ,Negative
1698,Big Hit Buka Suara Soal Apartemen Jimin BTS Disita ,Negative
1534,Terkini Bisnis Luhut Minta Masyarakat Tanam Cabai dan Sayur Lagi Sri Mulyani Bicara Krisis Pangan ,Negative
910,Ada Tren Penurunan Harga Minyak Dunia Muncul Desakan Harga Pertalite Kembali Jadi Rp7650 per Liter ,Negative
3257,Masyarakat Enggan Pakai Asuransi Lantaran Premi Terlalu Mahal dan Sudah Punya BPJS ,Negative
5031,Tak Hanya Garuda Indonesia Maskapai Penerbangan China Ini Juga Bangkrut  merdeka ,Negative
6893,Sibuk Serang Partai Nasdem dan Demokrat Rocky Gerung Etika Politik PDIP Semakin Terlihat ,Negative
2453,Mengapa dollar Amerika Serikat terus menguat dan apa dampaknya ,Negative
7817,Teknologi pengenalan wajah untuk awasi pasien Covid di Australia berpotensi melanggar privasi ,Negative
6541,Ruang Politik Ganjar Pranowo di Antara Partai,Negative
2494,Amerika Serikat Lakukan Pertukaran Tahanan dengan Taliban ,Negative
7590,Rilis MacBook Air dengan Desain Baru dan Apple M2 Mengalami Penundaan ,Negative
1064,Utang Tembus Rp 6000 Triliun BPK Khawatir Pemerintah Tak Bisa Bayar ,Negative
2296,Potret 3 Trainee Baru SM Entertainment Visualnya Bukan Kaleng,Negative
1845,ARMY Garis Keras Luna Maya Pastikan Nonton Konser BTS di Las Vegas ,Negative
6969,Masa Jabatan di DKI Berakhir Anies Baswedan Menuju Pemilu Presiden 2024 ,Negative
569,Kinerja tertekan pandemi laba bersih Pakuwon Jati PWON turun 65 di tahun 2020 ,Negative
1533,DPR Akan Rebut Kewenangan Pansel OJK dari Sri Mulyani Cs ,Negative
4313,Resmi China Putuskan Mundur sebagai Tuan Rumah Piala Asia 2023 ,Negative
307,Terdampak Perang Laba Garuda Food Turun 8 Jadi Rp 21361 M ,Negative
7727,Gubernur Riau Belum Pasti Anggarkan Mobil Listrik Tahun Depan Ini Penyebabnya ,Negative
4530,Cabor Baseball dan Squash Tidak Berharap Banyak di Asian Games 2018 ,Negative
3286,Tak Berubah Iuran BPJS Kesehatan Masih Sama hingga Tahun 2024 ,Negative
3017,Penampakan Dahsyatnya Gempa Taiwan yang Memakan Korban jiwa ,Negative
2660,Festival Demokrasi Energi di Bali soroti kemauan politik negara G20 ,Negative
6842,Partainya Giring Dihajar Isu Nggak Enak Roman,Negative
2258,SM Entertainment Bentuk Girl Group Baru Gaet BoA hingga aespa ,Negative
4753,Akses Jalan Desa di Kawasan Lereng Gunung Bromo Terputus Diterjang Longsor ,Negative
1523,Sri Mulyani Luka yang Disebabkan Pandemi Covid,Negative
2306,Rumor Girl Group Baru Sita Perhatian Staf YG Entertainment Beri Bocoran ,Negative
4641,Penyebab Timnas Basket Indonesia Kalah dari Arab Saudi di Kualifikasi FIBA Piala Dunia 2023 ,Negative
2516,Ada 8 Parpol Lain di China Kenapa Hanya Partai Komunis yang Berkuasa ,Negative
4893,Pemkab Mabar berikan makanan tambahan kepada ibu hamil dan balita ,Negative
1405,Rupiah Hampir Sentuh 15500 per Dolar AS Subsidi BBM Semakin Bengkak ,Negative
5104,Museum Purbakala Patiayam Diharap Berkembang seperti Sangiran ,Negative
543,Pakuwon PWON Akan Rilis Obligasi untuk Refinancing Ini Pandangan Moodys dan Fitch ,Negative
2939,Amerika Marah Gak Dikasih Kabar Soal Rencana Latihan Senjata Nuklir Rusia ,Negative
6605,Komentari Anne Frank Pejabat Partai di Swedia Tuai Kecaman ,Negative
263,Daftar 10 Perusahaan yang sedang IPO Buy or Bye ,Negative
901,Harga Minyak Dunia Makin Mahal Alasan Tepat Tak Tunda Transisi Energi ,Negative
3926,Daftar Negara yang Bisa Dikunjungi Orang Belum Suntik Vaksin Covid ,Negative
1008,Utang Capai Rp 138 Triliun Begini Cara Garuda Melunasinya ,Negative
3244,BPJS Ketenagakerjaan Yogyakarta Serahkan BSU Tahun 2022 ,Negative
1160,Indonesia Terancam Krisis Tenaga Kerja pada 2023 ,Negative
4669,Paguyuban Suporter Timnas Ngadu ke Komnas HAM Minim Edukasi ,Negative
6239,UMS Siap Layani Penggembira Muktamar Muhammadiyah,Negative
2928,Hyundai Motor sedang pertimbangkan penjualan pabriknya di Rusia ,Negative
855,Prediksi Analis Harga Emas Dunia Bakal Jatuh di Bawah USD 1800 Pekan Ini ,Negative
5495,Sejarah Kota Tua Ada Lukisan Raksasa Tersembunyi ,Negative
4,Bayang Resesi Perusahaan Asuransi Diminta Jaga Dua Hal Ini ,Negative
3423,Sempat Vakum Selama Pandemi Covid,Negative
6653,NasDem Sebut Kebijakan Jokowi Dilanjutkan Anies Kalau yang Belum Baik di Renovasi ,Negative
104,Tajir Melintir Tapi Ada Bisnis Raffi Ahmad yang Bangkrut ,Negative
4708,Kalahkan Curacao 3,Negative
5099,Dibuka Mulai Lebaran Ketiga Museum Tsunami Langsung Dipadati Ribuan Pengunjung ,Negative
3548,SEMINAR KESEHATAN MENTAL DR CAHYANINGSIH KESEHATAN JIWA ADALAH PERASAAN SEHAT DAN BAHAGIA ,Negative
3787,Selain Gelisah Ini Tanda Tubuh Terlalu Banyak Konsumsi Kafein ,Negative
753,Masuk BBHI Saham Bukalapak BUKA Naik 1792 di Sesi I Perdagangan 4 Januari 2022 ,Negative
2519,Cegah Provokasi China Blokir Ratusan Media Sosial Jelang Kongres Partai Komunis ,Negative
7286,Turki Bangun Pabrik Drone di Ukraina Mau Ikut Lawan Putin ,Negative
7339,Iran Pamer Kerajaan Drone Bawah Tanah Ini Penampakannya ,Negative
1428,Buang Rupiah Warga 62 Pilih Ternak Dolar ,Negative
6438,Ramalan Rocky Gerung Akan Anies Baswedan Jadi Kenyataan Kelewatan Apa Gak Mikir Perasaan ,Negative
5187,Ekspor Produk Halal Dilepas Gubernur Sulsel ke,Negative
2553,Soal Perang Rusia AS Ancam Jatuhkan Sanksi Ke China ,Negative
7303,Ngeri AS Kirim 100 Drone Kamikaze Pembunuh ke Ukraina ,Negative
2330,World Tour Blackpink Dinantikan Penggemarnya di Seluruh Dunia ,Negative
696,Smelter Antam Tak Kunjung Beroperasi ,Negative
6444,Ulama NU dan Muhammadiyah Kompak Masuk Barisan Relawan Anies Baswedan  Politik ,Negative
17,Ratusan Pengusaha Bisnis Asuransi Berkumpul Di Bali Apa yang Dibahas Berikut Penjelasannya ,Negative
6102,Dukung Presidensi G20 Universitas Indonesia Menyerahterimakan 40 Policy Brief dan Bus Listrik Buatan Fakultas Teknik ,Negative
7116,PDIP Anggap Pembakaran Foto Puan Maharani saat Aksi Tolak Kenaikan BBM Lucu ,Negative
2422,Inflasi di Amerika Serikat Tercatat Masih Tinggi Bagaimana Dampaknya Terhadap Indonesia ,Negative
4412,Top 3 Sports Pesan Suporter ke TGIPF Sampai PSSI Tak Mudah Disentuh ,Negative
3492,Jika Covid 19 Sudah Menjadi Endemi Penangananya Jadi Seperti Penyakit Biasa  Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan ,Negative
4510,Belum Terkalahkan Tim U,Negative
4072,Jika Gagal Juara di SEA Games 2023 Ketum FAT Didesak Mundur ,Negative
4231,Pukulan dalam Pencak Silat Merupakan Salah Satu Serangan dengan Tangan Kosong ,Negative
6602,Demokrat Ajukan PAW Anggota Fraksinya ke DPRD Kotim ,Negative
6323,Kenapa Rusia Semakin Keteteran di Ukraina ,Negative
6424,GMNI Sulawesi Utara Anggap Rapimnas Ancol Jakarta Ilegal Dihadiri Anies Baswedan ,Negative
4657,Pakar Sepak Bola Malaysia Beberkan Alasan Mengapa Timnas Indonesia Tak Boleh Sepelekan Thailand di Piala AFF 2022 ,Negative
396,Penjualan neto Garudafood GOOD terkikis menjadi Rp 771 triliun pada tahun 2020 ,Negative
924,Pasokan Minyak Dunia Meningkat ICP Juli 2022 Turun Jadi US10673 per Barel ,Negative
1797,Ryujin ITZY Positif Covid,Negative
2104,Gading Marten dan Gisella Anastasia Nyaris Mesra Lagi saat Tanding di Lapangan Pakai Baju Nomor Punggung Sama ,Negative
3971,300 Juta Dosis Vaksin COVID,Negative
2711,Pakistan Murka Disebut Biden Negara Paling Berbahaya di Dunia ,Negative
3436,Peringatan Gelombang Baru Covid,Negative
7562,7 Alasan Upgrade ke MacBook Air M2 Banyak Kelebihannya ,Negative
1431,Harga Kedelai Meroket Pengrajin Tahu Naikan Harga Hingga 5 Ribu Rupiah ,Negative
7200,Antara Android dan iOS Mana yang Paling Banyak Virusnya ,Negative
5164,Pesona Pulau Derawan Surganya Terumbu Karang Setelah Raja Ampat ,Negative
302,Waspada Penipuan Lowongan Kerja di PT Garuda Food Korban Disuruh Transfer Uang ,Negative
2149,Mengaku Hanya Karyawan RANS Entertainment Raffi Ahmad Ungkap Bos Sebenarnya ,Negative
1651,Foto V BTS Merokok Viral ARMY Melapor ke BigHit ,Negative
1287,Sektor Informal Mendominasi Pembukaan Lapangan Kerja Baru ,Negative
803,Emas Dunia Nyungsep Harga Emas di Antam Turun ,Negative
6599,Profil Agus Harimurti Yudhoyono Ujung Tombak Partai Demokrat ,Negative
6893,Sibuk Serang Partai Nasdem dan Demokrat Rocky Gerung Etika Politik PDIP Semakin Terlihat ,Negative
5702,Infrastruktur Digital Masih Jadi Masalah Besar Dunia Pendidikan Tinggi ,Negative
1687,Saat Jimin BTS Tersisihkan Ini Hal Hal Sempat Dituntut ARMY Pada Big Hit ,Negative
7209,5 Versi Android Paling Banyak Digunakan Versi Lama Mendominasi ,Negative
2609,Diskominfo,Negative
5473,10 Wisata Kota Tua Jakarta yang Instagramable Penuh Spot Menarik ,Negative
7783,Iran Siapkan Pemindai Wajah di Transportasi Umum Wanita Penentang Jilbab Dapat Langsung Ditangkap ,Negative
2385,Idol Group,Negative
263,Daftar 10 Perusahaan yang sedang IPO Buy or Bye ,Negative
7163,Aplikasi WhatsApp Bodong YoWhatsApp Curi Akun Pengguna Android ,Negative
3995,Gede Ganding Kejar Tiket Olimpiade ,Negative
3374,Filipina Laporkan Kasus Cacar Monyet Pertama ,Negative
1608,WNA hingga Leo Pergi Nasib Trainee A BigHit Music Diperdebatkan ,Negative
2472,Tujuh Kapal Perang China dan Rusia Terpantau Berseliweran di ZEE Amerika Serikat ,Negative
7557,MacBook Air Baru Apple dengan M2 Tersedia 15 Juli ,Negative
5665,7 Mahasiswa Unismuh Makassar Ikuti Magang Kampus Merdeka di KPU Kota Makassar ,Negative
1535,Sri Mulyani Ungkap Beda APBN RI dan Inggris Saat Krisis ,Negative
2926,6 Warga Rusia Ditangkap Polisi Norwegia Dituding Jadi Mata,Negative
4516,Sejarawan Ini Klaim Yesus Orang Pertama yang Main Baseball ,Negative
916,Juragan Sawit Sabar Ya Harga CPO Masih Susah Terbang ,Negative
7314,Taliban Pakistan Izinkan Drone AS di Wilayah Udaranya untuk Masuk Afghanistan ,Negative
4311,Jadwal Lengkap Timnas Indonesia di Kualifikasi Piala Asia 2023 Jalan Terjal Shin Tae,Negative
4547,TC di Amerika Timnas Basket Indonesia Jajal 2 Pemain Keturunan ,Negative
6195,UAH Siap Masuk PP Muhammadiyah Sekum Pengusulan Pimpinan Sudah Ditutup ,Negative
7608,Spesifikasi MacBook Pro 14 Inci dan 16 Inci Terbaru Apa yang Berbeda ,Negative
1724,Chicco Jerikho Adu Peran dengan Kim Sejeong dan Ahn Hyo,Negative
2731,Ukraina Klaim Tembak 4 Drone Iran Zelensky Turunkan Hubungan Diplomatik dengan Teheran ,Negative
1106,Krisis Pupuk Tahun Ini Berkaitan dengan Krisis Pangan 2023 Ini Antisipasi Pupuk Kaltim ,Negative
1485,RI Banjir Duit Asing Lagi Rupiah Bakal Ngamuk Pekan Ini ,Negative
2463,Saking Kecil Luas Negaranya Jet Siluman F,Negative
3149,Awas Dunia Perang Rusia,Negative
1094,Perumdam Tirta Siak Pekanbaru hapus hutang pelanggan ,Negative
1706,BTS Wajib Militer Saham Hybe Tumbang ,Negative
5370,Super Air Jet Gencar Tambah RuteSudah Berapa PesawatnyaIni Bocorannya ,Negative
4836,Bromo Tutup Selama Yadnya Kasada 16,Negative
6621,Partai Demokrat Ngebut Cari Mitra Koalisi ,Negative
7879,Gambar Jernih Pemotretan Pakai Fitur Zoom Samsung Galaxy S22 Ultra Viral di Twitter Ini Faktanya ,Negative
3186,Perang Ukraina Serangan drone targetkan armada Laut Hitam Rusia di Krimea ,Negative
319,Sambut Lebaran Garudafood GOOD Siapkan Produk Musiman dan Perluas Ekspor ,Negative
4790,Wisata Gunung Bromo Ditutup untuk Kendaraan Bermotor di Awal Wulan Kapitu ,Negative
1837,Tiket Konser BTS di Las Vegas Ludes Terjual Restoran Dadakan Kebanjiran Pesanan ARMY ,Negative
4159,Apel Akbar 1000 Pendekar Semarakkan Turnamen Pencak Silat Sekda Cup 2022 ,Negative
7323,Militer Israel Pertama Kali Akui Gunakan Drone untuk Menyerang ,Negative
956,Harga Minyak Dunia Turun Tapi Masih Mahal di Level US115 per Barel ,Negative
4019,Apriyani Rahayu Ingin Back to Back Juara Olimpiade Tapi Minim Komunikasi dengan Fadia ,Negative
797,Ini Porsi Kepemilikan Bukalapak BUKA di AlloFresh ,Negative
3092,10 Perusahan China Diduga Buru Insinyur Chip Taiwan Digrebek ,Negative
3891,Bikin Doyoung NCT Ketagihan Inilah 5 Manfaat Buah Salak yang Tak Banyak Orang Tahu Cocok Buat Diet ,Negative
4537,Era Abramovich Kelar Chelsea Dijual Rp 78 T ke Todd Boehly ,Negative
7608,Spesifikasi MacBook Pro 14 Inci dan 16 Inci Terbaru Apa yang Berbeda ,Negative
7296,Kengerian Mengintai di Balik Jatuhnya Pasukan Drone Rusia ,Negative
6411,Cerita Anies Baswedan Saat Riset Disertasi dan Tiket Pesawat Hampir Hangus ,Negative
3192,Situasi Ukraina Makin Mencekam Warga Diminta Pergi ,Negative
6546,Jajaran Elit Partai Demokrat Nasdem dan PKS Duduk Semeja Chemistry Makin Terbangun ,Negative
2744,Arab Saudi dan Indonesia 2 Negara yang Dibidik Israel untuk Normalisasi Hubungan ,Negative
3526,Tanpa Kamu Sadari 21 Kebiasaan Ini Merusak Kesehatan Mental Kamu Nomor 15 Sudah Menjadi Gaya Hidup ,Negative
803,Emas Dunia Nyungsep Harga Emas di Antam Turun ,Negative
2913,Tolak Pimpin Konser Rusia Konduktor Ukraina Ditembak Mati ,Negative
590,Pakuwon Jati Bidik Pertumbuhan Marketing Sales 40 ,Negative
5393,Super Air Jet di Terminal Berapa di Bandara Soekarno,Negative
1588,Duh Sri Mulyani Beberkan 3 Kengerian Baru Ancam RI ,Negative
6934,Ada Kader PDIP Bermanuver ke Partai Lain Megawati Kalian Maunya Apa ,Negative
530,Hadapi Kenaikan Harga Energi Begini Tanggapan Pakuwon Jati PWON ,Negative
3194,6 Bulan Diserbu Rusia Kenapa Ukraina Tak Kunjung Tumbang ,Negative
6332,Profil Hillary Brigitta Lasut Anggota DPR yang Laporkan Komika Mamat Alkatiri ,Negative
1049,Hoaks Bukti kuitansi utang Soekarno 400 kg emas dari pengusaha Aceh ,Negative
818,Harga Emas Dunia Turun Emas di Pegadaian Malah Naik ,Negative
6268,Delapan Kampus Termahal di Indonesia Ada Incaranmu ,Negative
5099,Dibuka Mulai Lebaran Ketiga Museum Tsunami Langsung Dipadati Ribuan Pengunjung ,Negative
6519,Atasi Kelangkaan Solar Ganjar Turunkan Tim ,Negative
1572,Ramai stopbayarpajak Begini Jawaban Menohok Sri Mulyani ,Negative
1763,Cara Berbeda Kedua Agensi HYBE Entertainment dan JYP Tangani Idol K,Negative
454,Kenaikan Tarif Ojol Ditunda Cek Harga Saham GOTO ,Negative
4072,Jika Gagal Juara di SEA Games 2023 Ketum FAT Didesak Mundur ,Negative
6443,Aksi Anies Baswedan Jadi Sopir Mikrotrans Penumpang Kaget ,Negative
2405,Seorang WNI menjadi korban salah tembak di Amerika Serikat ,Negative
6674,Amsakar Achmad Setia di Nasdem Bantah Isu Pindah Partai Jelang Pilkada Batam 2024 ,Negative
1284,Bank Dunia RI Kurang Lapangan Kerja Kelas Menengah ,Negative
1787,Profil NMIXX Grup K,Negative
4759,Dari Lereng Gunung Bromo Warga Berbondong,Negative
901,Harga Minyak Dunia Makin Mahal Alasan Tepat Tak Tunda Transisi Energi ,Negative
5948,Menko Polhukam RI Hadiri Dies Natalis Ke,Negative
8,Sempat Viral Gaji Pebisnis Asuransi Tembus Rp 11 Miliar Sebulan Ternyata Bukan Isapan Jempol ,Negative
6729,Ini Kriteria Capres yang Diinginkan Partai Nasdem ,Negative
889,Harga Emas Dunia Turun Usai The Fed Naikkan Suku Bunga ,Negative
4865,Bikin Ngeri Begini Momen Komodo Masuk Pasar Tradisional di Labuan Bajo  merdeka ,Negative
103,Intip Gurita Bisnis Raffi Ahmad Sumber Cuan Selain Ngartis ,Negative
83,Perusahaan Asuransi Ramai Komplain OJK Kuncinya Bayar Klaim ,Negative
4393,Pergerakan Usai Tragedi Kanjuruhan PSSI Diundang Polri dan Kemenkes ,Negative
7221,35 Aplikasi Jahat Android Ditemukan di Google Play Store Ini Daftarnya ,Negative
4349,PSSI Buka Wacana Timnas Indonesia U,Negative
228,Nilai Pengumpulan Dana di Bursa Tembus Rp 17534 Triliun ,Negative
3961,Kemenkes Berencana Tawarkan Vaksin Berbayar Anda Minat ,Negative
5786,RUU Sisdiknas dan Riuh Rendah Kesejahteraan Guru ,Negative
798,Menelisik Bengkaknya Kerugian Bukalapak Setelah IPO ,Negative
1323,Amit,Negative
2167,Nessie Judge Tak Terima Dituding Ragukan Cerita KKN di Desa Penari Aku Benci Video Dipotong,Negative
4424,Media Vietnam Soroti Target PSSI Bantu Timnas Indonesia Juara Piala AFF 2022 ,Negative
4874,Penampakan Bunda Maria yang Paling Terkenal di Dunia Berikut Informasinya ,Negative
6688,KPU Sebut Verifikasi Partai Non,Negative
6571,NasDem Sebut Koalisi dengan PKS dan Demokrat Tak Semudah Membalikkan Telapak Tangan ,Negative
5757,Timeline Persiapan Daftar Program LPDP Mahasiswa Jangan Terburu,Negative
6787,Tak Lolos Administrasi Partai Prima Gugat KPU ke Bawaslu ,Negative
7824,iOS 154 Meluncur Bisa Face ID dengan Masker dan Bawa Emoji Baru ,Negative
5451,FOTO Kawasan Wisata Kota Tua Jakarta Selesai di Revitalisasi ,Negative
7798,Eks Karyawan Apple Temukan Fotonya Direkayasa untuk Pornografi ,Negative
5738,108 Mahasiswa Magang Kampus Merdeka di BPJPH ,Negative
4238,Jenis,Negative
5301,7 Tempat Wisata di Bandung yang Viral di TikTok Jadi Rekomendasi ,Negative
74,OJK Soroti Persaingan Bisnis dan Isu Permodalan di Industri Asuransi Umum ,Negative
1989,EXO Akan Menayangkan Konser Encore The EXplOration dot di VLIVE ,Negative
1641,Netizen Sebut Boy Group Baru Big Hit Music Trainee A Tak Terlihat Seperti Grup Korea ,Negative
5771,Cuaca Jakarta Hari Ini BMKG Waspada Hujan Petir dengan Durasi Singkat ,Negative
7357,iPad Air 2022 Resmi Meluncur dengan Chip M1 Ini Harganya ,Negative
4873,Atasi Kesulitan Air Bersih di Kawasan Wisata Labuan Bajo Lewat Instalasi Panen Air Hujan dari Sekolah Ilmu Lingkungan UI ,Negative
2796,Arab Saudi Mungkin Naikkan Produksi Minyak untuk Imbangi Penurunan Pasokan dari Rusia ,Negative
599,Antam ANTM Buyback Saham yang Tak Setuju Spin,Negative
1390,Resesi Global Mengancam Ini Peluang Investasi yang Aman ,Negative
2799,Kemenlu AS Pasokan drone Iran ke Rusia melanggar resolusi PBB ,Negative
849,Harga Emas Dunia Melemah Tertekan Penguatan Dollar AS ,Negative
4204,SDN 147 CITARIP BARAT cetak siswa,Negative
3097,Putin Menggila Rusia Bombardir Kyiv Ukraina Gelap Gulita ,Negative
